planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,transit_radius,ice_frac,iron_frac,valid
24,562,2034,0.080995751,0.0,0.080995751,8.7101552322274e-06,0.049819549,0.049819549,5.5112459,0,19.208512,0.049819549,0.5055292,0.24466478,True
2,562,2034,0.011715078,0.0,0.011715078,1.1786958329845e-06,0.026350705,0.026350705,8.6322127,0,15.953915,0.026350705,0.53094096,0.25501801,True
22,562,2034,0.012382631,0.0,0.012382631,1.2462023794411001e-06,0.026841466,0.026841466,7.962791,0,16.673727,0.026841466,0.5308288,0.25499186,True
13,562,2034,0.014674427,0.0,0.014674427,1.4809491733917e-06,0.028394453,0.028394453,6.1678331,0,17.901821,0.028394453,0.52960721,0.25486482,True
12,562,1937,0.23503754,0.0,0.23503754,2.5611930938304e-05,0.069890149,0.069890149,2.7518237,0,28.409702,0.069890149,0.49963152,0.24378405,True
16,562,2034,0.010019891,0.0,0.010019891,9.8436808494156e-07,0.025098535,0.025098535,16.062638,0,11.909665,0.025098535,0.54199877,0.25502002,True
35,562,2034,0.11670608,0.0,0.11670608,1.2580873449593e-05,0.056151426,0.056151426,1.1151315,0,41.536676,0.056151426,0.50457532,0.24428789,True
45,562,2034,0.019503271,0.0,0.019503271,2.0663359000615e-06,0.03103304,0.03103304,7.6068849,0,16.467078,0.03103304,0.51019103,0.2487518,True
43,562,2034,0.010460749,0.0,0.010460749,1.03953141449588e-06,0.025420252,0.025420252,10.979441,0,14.366411,0.025420252,0.53671638,0.25502001,True
29,562,2034,0.60694036,0.0,0.60694036,0.00012298456130653999,0.073814203,0.073814203,0.088647977,0,152.51107,0.073814203,0.00038102518,0.29597707,True
23,562,1937,0.29928573,0.0,0.29928573,6.3674093063805e-05,0.060333613,0.060333613,1.7410923,0,36.071679,0.060333613,0.014252575,0.25055619,True
7,534,2230,0.010000003,0.0,0.010000003,9.705663145476998e-07,0.025125134,0.025125134,17.581127,0,11.385338,0.025125134,0.54752029,0.25502002,True
6,534,2723,1.4065443,0.016251899858267273,1.4227962563111782,0.000492112521774046,0.11773498943740171,0.15169710311691648,0.82408978,0,51.34360713934176,0.15084765183510382,0.38685851,0.24679974,True
10,534,2230,0.62451663,0.0,0.62451663,0.00012662512484724,0.074440884,0.074440884,0.12123045,0,133.39066,0.074440884,0.0,0.29580246,True
8,534,2230,0.031362496,0.0,0.031362496,3.3724843521338e-06,0.036300078,0.036300078,3.8619297,0,23.783337,0.036300078,0.50450509,0.24626488,True
38,534,2672,0.58352964,0.0005223875532121612,0.5840520304853772,0.00010269105802660478,0.09280383815749435,0.10244762620520002,1.3763665,0,40.45626977438126,0.10164224310518401,0.48915984,0.24335662,True
28,534,2230,0.022672963,0.0,0.022672963,2.4253433898439002e-06,0.032589727,0.032589727,7.0788602,0,14.851708,0.032589727,0.50624409,0.24756102,True
30,534,2230,0.010012099,0.0,0.010012099,9.958300733145999e-07,0.02504799,0.02504799,11.717518,0,13.883126,0.02504799,0.5363032,0.25502002,True
1,534,2230,0.068807648,0.0,0.068807648,7.3798152576079e-06,0.047195024,0.047195024,4.8039334,0,21.392174,0.047195024,0.50627695,0.2455265,True
22,534,2230,0.013005314,0.0,0.013005314,1.3116231316268e-06,0.027277286,0.027277286,6.1263753,0,18.305055,0.027277286,0.52992526,0.25485649,True
16,534,2230,0.010039501,0.0,0.010039501,9.9766660354965e-07,0.025074435,0.025074435,10.69695,0,14.542908,0.025074435,0.53671596,0.25502001,True
35,534,2230,0.27392712,0.0,0.27392712,5.3645777079982e-05,0.057303048,0.057303048,0.042702475,0,216.97276,0.057303048,0.0,0.31982741,True
31,534,2230,0.010143026,0.0,0.010143026,1.01262082697117e-06,0.025143702,0.025143702,9.5099297,0,15.436588,0.025143702,0.53457111,0.25501999,True
44,534,2230,0.010266111,0.0,0.010266111,1.03341583790411e-06,0.025214346,0.025214346,8.8161535,0,16.038244,0.025214346,0.53070827,0.25501958,True
37,534,2230,0.019726584,0.0,0.019726584,2.0922451042401e-06,0.031148061,0.031148061,5.2609843,0,20.648735,0.031148061,0.50964564,0.24877634,True
45,534,2133,0.17376641,0.0,0.17376641,3.6144091480167e-05,0.051816209,0.051816209,2.8417987,0,29.190192,0.051816209,0.042012619,0.24605241,True
27,534,2230,0.010488341,0.0,0.010488341,1.055547155942e-06,0.025396085,0.025396085,8.3222018,0,16.459491,0.025396085,0.53081665,0.25501616,True
41,534,2230,0.011705455,0.0,0.011705455,1.1811120312592e-06,0.026333371,0.026333371,7.0222799,0,17.831809,0.026333371,0.52961027,0.25498744,True
