pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"TOI-1130 b","<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>",0,0.043940,0.000350,-0.000380,0,0.200,,,-1,"[Fe/H]"
"WASP-34 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.052100,0.001200,-0.001200,0,-0.020,0.100,-0.100,0,"[Fe/H]"
"TOI-776 c","<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>",0,0.100000,0.002400,-0.002400,0,-0.200,0.120,-0.120,0,"[Fe/H]"
"55 Cnc d","<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>",0,5.957000,0.074000,-0.071000,0,0.350,0.100,-0.100,0,"[Fe/H]"
"WASP-1 b","<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>",0,0.039200,0.000550,-0.000340,0,0.170,0.050,-0.050,0,"[Fe/H]"
"WASP-1 b","<a refstr=TURNER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.459..789T/abstract target=ref>Turner et al. 2016</a>",0,0.038890,0.000530,-0.000730,0,0.260,,,0,"[Fe/H]"
"HAT-P-56 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.042320,0.000380,-0.000410,0,-0.077,0.080,-0.080,0,"[Fe/H]"
"HAT-P-28 b","<a refstr=BUCHHAVE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.1813B/abstract target=ref> Buchhave et al. 2011 </a>",0,0.043400,0.000700,-0.000700,0,0.120,0.080,-0.080,0,"[Fe/H]"
"K2-266 d","<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..245R/abstract target=ref>Rodriguez et al. 2018</a>",0,0.103500,0.001600,-0.001700,0,-0.120,0.400,-0.420,0,"[Fe/H]"
"HD 73583 b","<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>",0,0.060400,0.002700,-0.002600,0,0.000,0.090,-0.090,0,"[Fe/H]"
"TOI-712 c","<a refstr=VACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...71V/abstract target=ref>Vach et al. 2022</a>",0,0.244700,0.003000,-0.002800,0,-0.020,0.120,-0.043,0,"[Fe/H]"
"WASP-1 b","<a refstr=SOUTHWORTH_2010 href=https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1689S/abstract target=ref> Southworth 2010 </a>",0,0.038980,0.000380,-0.000410,0,0.230,0.080,-0.080,0,"[Fe/H]"
"Qatar-3 b","<a refstr=ALSUBAI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..200A/abstract target=ref>Alsubai et al. 2017</a>",0,0.037830,0.000690,-0.000690,0,-0.041,0.081,-0.081,0,"[Fe/H]"
"WASP-60 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.053110,0.000580,-0.000590,0,-0.040,0.090,-0.090,0,"[Fe/H]"
"Qatar-7 b","<a refstr=ALSUBAI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...74A/abstract target=ref>Alsubai et al. 2019</a>",0,0.035200,0.000200,-0.000200,0,0.276,0.071,-0.071,0,"[Fe/H]"
"WASP-60 b","<a refstr=MANCINI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..41M/abstract target=ref>Mancini et al. 2018</a>",0,0.055480,0.000460,-0.000460,0,0.260,0.070,-0.070,0,"[Fe/H]"
"WASP-1 b","<a refstr=COLLIER_CAMERON_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007MNRAS.375..951C/abstract target=ref> Collier Cameron et al. 2007 </a>",0,0.038200,0.001300,-0.001300,0,0.100,0.200,-0.200,0,"[Fe/H]"
"WASP-60 b","<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A.134H/abstract target=ref> Hebrard et al. 2013 </a>",0,0.053100,0.000600,-0.000600,0,-0.040,0.090,-0.090,0,"[Fe/H]"
"HD 28109 c","<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>",0,0.308000,0.011000,-0.011000,0,0.000,0.100,-0.100,0,"[Fe/H]"
