pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"Kepler-1025 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.218600,,,0,-0.420,0.260,-0.320,0,"[Fe/H]"
"Kepler-321 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.109600,,,0,0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-618 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.046000,,,0,0.100,0.150,-0.150,0,"[Fe/H]"
"Kepler-227 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.085300,,,0,0.140,0.150,-0.150,0,"[Fe/H]"
"Kepler-552 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.061200,,,0,0.020,0.190,-0.300,0,"[Fe/H]"
"Kepler-229 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.116500,,,0,-0.120,0.330,-0.280,0,"[Fe/H]"
"Kepler-837 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.114400,,,0,-0.820,0.340,-0.260,0,"[Fe/H]"
"Kepler-833 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.113900,,,0,-0.200,0.120,-0.120,0,"[Fe/H]"
"Kepler-832 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.075000,,,0,0.070,0.150,-0.330,0,"[Fe/H]"
"Kepler-822 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.041200,,,0,-0.240,0.300,-0.260,0,"[Fe/H]"
"Kepler-669 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.052900,,,0,0.100,0.180,-0.300,0,"[Fe/H]"
"Kepler-669 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.052900,,,0,0.100,0.200,-0.300,0,"[Fe/H]"
"Kepler-835 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.107000,,,0,0.210,0.150,-0.370,0,"[Fe/H]"
"Kepler-155 b","<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>",0,0.052600,0.002200,-0.003100,0,-0.330,0.110,-0.110,0,"[Fe/H]"
"Kepler-155 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.052800,,,0,-0.220,0.150,-0.150,0,"[Fe/H]"
"Kepler-554 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.029300,,,0,0.240,0.150,-0.150,0,"[Fe/H]"
"Kepler-207 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.028500,,,0,0.210,0.150,-0.150,0,"[Fe/H]"
"Kepler-235 d","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.115500,,,0,-0.360,0.120,-0.120,0,"[Fe/H]"
"Kepler-287 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.240900,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-286 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.028900,,,0,-0.180,0.250,-0.280,0,"[Fe/H]"
"Kepler-596 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.154200,,,0,-0.160,0.230,-0.280,0,"[Fe/H]"
"Kepler-56 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.165600,,,0,0.200,0.162,-0.162,0,"[Fe/H]"
"Kepler-793 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.049100,,,0,-0.240,0.300,-0.260,0,"[Fe/H]"
"Kepler-333 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.088900,,,0,-0.240,0.320,-0.280,0,"[Fe/H]"
"Kepler-333 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.088900,,,0,-0.240,0.320,-0.280,0,"[Fe/H]"
"Kepler-42 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.005800,,,0,-0.480,0.170,-0.170,0,"[Fe/H]"
"Kepler-758 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.054700,,,0,-0.340,0.150,-0.150,0,"[Fe/H]"
"Kepler-273 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.072100,,,0,-0.480,0.340,-0.260,0,"[Fe/H]"
"Kepler-792 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.099100,,,0,-0.060,0.220,-0.300,0,"[Fe/H]"
"Kepler-176 d","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.160400,,,0,0.070,0.270,-0.250,0,"[Fe/H]"
"Kepler-176 d","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.160400,,,0,0.070,0.270,-0.250,0,"[Fe/H]"
"Kepler-186 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.037900,,,0,-0.210,0.110,-0.110,0,"[Fe/H]"
"Kepler-1048 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.059000,,,0,-0.600,0.300,-0.300,0,"[Fe/H]"
"Kepler-553 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.048800,,,0,0.100,0.220,-0.240,0,"[Fe/H]"
"Kepler-591 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.371900,,,0,0.040,0.180,-0.300,0,"[Fe/H]"
"Kepler-80 e","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.045600,,,0,-0.140,0.150,-0.150,0,"[Fe/H]"
"Kepler-558 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.175900,,,0,-0.020,0.300,-0.300,0,"[Fe/H]"
"Kepler-710 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.052400,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-246 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.052000,,,0,0.140,0.240,-0.260,0,"[Fe/H]"
"Kepler-122 e","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.221000,,,0,-0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-201 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.575200,,,0,0.040,0.100,-0.140,0,"[Fe/H]"
"Kepler-593 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.150800,,,0,-0.240,0.260,-0.300,0,"[Fe/H]"
"Kepler-593 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.150800,,,0,-0.240,0.250,-0.300,0,"[Fe/H]"
"Kepler-821 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.028200,,,0,-0.060,0.320,-0.260,0,"[Fe/H]"
"Kepler-288 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.142800,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-144 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.065200,,,0,-0.320,0.220,-0.320,0,"[Fe/H]"
"Kepler-676 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.080200,,,0,0.090,0.120,-0.120,0,"[Fe/H]"
"Kepler-223 e","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.138100,,,0,-0.220,0.290,-0.260,0,"[Fe/H]"
"Kepler-605 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.042900,,,0,0.020,0.240,-0.260,0,"[Fe/H]"
"Kepler-815 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.090500,,,0,-0.030,0.101,-0.101,0,"[Fe/H]"
"Kepler-572 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.119400,,,0,-0.380,0.360,-0.280,0,"[Fe/H]"
"Kepler-249 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.055100,,,0,0.020,0.100,-0.100,0,"[Fe/H]"
"Kepler-240 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.047400,,,0,0.100,0.240,-0.280,0,"[Fe/H]"
"Kepler-254 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.104100,,,0,-0.220,0.280,-0.280,0,"[Fe/H]"
"Kepler-255 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.019200,,,0,0.160,0.150,-0.100,0,"[Fe/H]"
"Kepler-707 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.031500,,,0,-0.140,0.340,-0.280,0,"[Fe/H]"
"Kepler-282 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.154000,,,0,-0.360,0.150,-0.150,0,"[Fe/H]"
"Kepler-798 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.118000,,,0,-0.100,0.200,-0.320,0,"[Fe/H]"
"Kepler-115 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.035500,,,0,0.070,0.150,-0.150,0,"[Fe/H]"
"TOI-1601 b","<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>",0,0.068640,0.000790,-0.000750,0,0.329,0.073,-0.075,0,"[Fe/H]"
"Kepler-602 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.123100,,,0,-0.160,0.230,-0.300,0,"[Fe/H]"
"Kepler-245 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.069700,,,0,-0.020,0.300,-0.260,0,"[Fe/H]"
"Kepler-667 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.228800,,,0,0.220,0.180,-0.220,0,"[Fe/H]"
"Kepler-32 e","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.031800,,,0,-0.020,0.150,-0.150,0,"[Fe/H]"
"Kepler-190 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.029800,,,0,0.000,0.280,-0.260,0,"[Fe/H]"
"Kepler-609 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.068200,,,0,-0.060,0.220,-0.300,0,"[Fe/H]"
"Kepler-735 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.096600,,,0,0.210,0.190,-0.250,0,"[Fe/H]"
"Kepler-216 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.135400,,,0,-0.180,0.220,-0.320,0,"[Fe/H]"
"Kepler-563 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.141800,,,0,-0.080,0.300,-0.300,0,"[Fe/H]"
"Kepler-218 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.245100,,,0,0.360,0.080,-0.150,0,"[Fe/H]"
"Kepler-286 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.044800,,,0,-0.180,0.250,-0.280,0,"[Fe/H]"
"Kepler-29 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.108800,,,0,-0.040,0.120,-0.160,0,"[Fe/H]"
"Kepler-179 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.036200,,,0,-0.140,0.300,-0.300,0,"[Fe/H]"
"Kepler-331 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.066000,,,0,-0.860,0.280,-0.300,0,"[Fe/H]"
"Kepler-770 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.130200,,,0,-0.360,0.360,-0.280,0,"[Fe/H]"
"Kepler-764 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.072400,,,0,-0.200,0.300,-0.300,0,"[Fe/H]"
"Kepler-1006 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.146400,,,0,-0.140,0.300,-0.300,0,"[Fe/H]"
"Kepler-351 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.282200,,,0,-0.140,0.280,-0.260,0,"[Fe/H]"
"Kepler-184 d","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.176500,,,0,-0.340,0.300,-0.260,0,"[Fe/H]"
"Kepler-873 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.156800,,,0,0.070,0.150,-0.390,0,"[Fe/H]"
"Kepler-868 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.057500,,,0,-0.180,0.250,-0.300,0,"[Fe/H]"
"Kepler-1042 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.075600,,,0,-1.080,0.300,-0.300,0,"[Fe/H]"
"Kepler-612 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.045200,,,0,-0.220,0.300,-0.300,0,"[Fe/H]"
"Kepler-31 b","<a refstr=FABRYCKY_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...750..114F/abstract target=ref> Fabrycky et al. 2012 </a>",0,0.160000,,,0,-0.076,0.400,-0.400,0,"[Fe/H]"
"Kepler-31 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.157100,,,0,-0.120,0.220,-0.340,0,"[Fe/H]"
"Kepler-267 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.034600,,,0,-0.260,0.150,-0.150,0,"[Fe/H]"
"Kepler-84 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.082700,,,0,-0.180,0.150,-0.150,0,"[Fe/H]"
"Kepler-308 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.089000,,,0,-0.100,0.300,-0.300,0,"[Fe/H]"
"Kepler-309 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.051500,,,0,-0.280,0.150,-0.150,0,"[Fe/H]"
"Kepler-741 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.074000,,,0,-0.220,0.240,-0.280,0,"[Fe/H]"
"Kepler-178 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.084800,,,0,0.180,0.150,-0.100,0,"[Fe/H]"
"Kepler-255 c","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.086400,,,0,0.160,0.150,-0.100,0,"[Fe/H]"
"Kepler-261 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.088600,,,0,0.000,0.180,-0.140,0,"[Fe/H]"
"Kepler-905 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.058100,,,0,0.210,0.110,-0.150,0,"[Fe/H]"
"Kepler-1650 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.016300,,,0,0.000,0.100,-0.100,0,"[Fe/H]"
"Kepler-1650 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.016300,,,0,0.000,0.100,-0.100,0,"[Fe/H]"
"Kepler-932 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.027900,,,0,-0.080,0.300,-0.250,0,"[Fe/H]"
"Kepler-929 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.016900,,,0,-0.640,0.340,-0.260,0,"[Fe/H]"
"Kepler-649 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.176100,,,0,-0.380,0.160,-0.120,0,"[Fe/H]"
"Kepler-767 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.573300,,,0,-0.200,0.270,-0.280,0,"[Fe/H]"
"Kepler-268 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.176000,,,0,-0.120,0.220,-0.300,0,"[Fe/H]"
"Kepler-304 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.040700,,,0,0.560,0.300,-0.300,0,"[Fe/H]"
"Kepler-893 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.069900,,,0,0.070,0.170,-0.310,0,"[Fe/H]"
